GDP per capita (USD),Life satisfaction,,GDP per capital (USD)
Afghanistan,3.36,,20.682.659
Albania,4.655,,11.878.454
Algeria,6.355,,11696.95
Angola,3.866,,8.036.411
Argentina,6.65,,23.933.887
Armenia,4.36,,11.321.333
Australia,7.313,,47.569.293
Austria,7.119,,52873.86
Azerbaijan,5.291,,14.852.611
Bahrain,6.218,,48.110.734
Bangladesh,4.643,,37.001.108
Belarus,5.802,,18.362.746
Belgium,6.929,,49456.4
Belize,5.956,,73.586.187
Benin,3.484,,29.459.702
Bhutan,5.196,,10.086.073
Bolivia,5.822,,7.984.412
Bosnia and Herzegovina,5.163,,12.630.667
Botswana,3.974,,14.895.905
Brazil,6.952,,15.064.176
Bulgaria,4.217,,19.988.225
Burkina Faso,3.739,,1.925.332
Burundi,2.905,,8.252.057
Cambodia,3.907,,35.413.767
Cameroon,4.513,,35.704.246
Canada,7.404,,47522.14
Chad,3.763,,18.571.079
Chile,6.705,,24.440.416
China,5.245,,12.612.352
Colombia,6.481,,14.095.748
Comoros,3.956,,2.959.498
Congo,4.236,,52.243.022
Costa Rica,7.087,,19.141.684
Cote d'Ivoire,3.916,,44.171.504
Croatia,5.488,,24.884.666
Cyprus,5.546,,34.453.117
Czechia,6.596,,36.168.418
Democratic Republic of Congo,4.272,,10.652.424
Denmark,7.526,,52.892.645
